tar,github.com/iarna/tar,4.8,0,0,-1,0,10,-1,0,10,10,0,10,10,-1,10,0,0
test-unit,github.com/tst-labs/test-unit,5.5,0,4,-1,0,10,-1,3,10,-1,10,10,0,10,10,0,0
text-table,github.com/klny/text-table,5.1,0,-1,3,0,10,-1,10,0,-1,10,10,10,10,0,0,0
tiff,github.com/google/tiff,5.5,0,-1,0,0,10,10,0,-1,10,10,10,10,10,0,-1,0
tough-cookie,github.com/SalesforceEng/tough-cookie,6.5,3,-1,10,0,10,-1,0,10,10,0,10,10,0,7,-1,10
tunnel-agent,github.com/postmanlabs/tunnel-agent,4.9,0,-1,1,0,10,-1,0,10,10,10,10,0,10,-1,0,0
typedarray,github.com/substack/typedarray,4.8,0,-1,0,0,10,-1,0,-1,10,10,0,10,10,10,0,0
uid-number,github.com/isaacs/uid-number,4.8,-1,0,0,0,10,-1,0,10,10,0,-1,10,10,10,0,0
umask,github.com/smikes/umask,4.8,0,0,-1,0,10,-1,0,10,10,10,-1,0,10,10,0,0
util-deprecate,github.com/TooTallNate/util-deprecate,4.9,0,-1,1,0,10,-1,0,0,10,10,10,-1,10,10,0,0
util-extend,github.com/isaacs/util-extend,3.9,0,0,-1,0,-1,10,10,-1,9,10,0,0,10,0,0,0
validate-npm-package-name,github.com/npm/validate-npm-package-name,6,2,-1,6,0,10,-1,0,10,10,-1,0,10,10,10,7,0
verror,github.com/OpenAgenda/verror,4.5,-1,0,0,0,10,-1,0,10,-1,10,10,10,0,0,0,0
wcwidth,github.com/jquast/wcwidth,5.6,0,-1,2,0,10,-1,6,10,10,-1,10,10,0,10,0,0
which,github.com/jwlarocque/which,4.5,-1,0,0,0,10,-1,0,-1,0,10,10,10,10,0,0,0
wrappy,github.com/npm/wrappy,4.9,0,1,-1,0,10,10,10,10,10,10,0,-1,0,-1,0,0
write-file-atomic,github.com/iarna/write-file-atomic,6.2,-1,2,8,0,10,10,10,10,10,0,10,-1,7,0,-1,0
xtend,github.com/Raynos/xtend,5,0,-1,2,0,10,0,10,10,10,-1,10,10,0,0,-1,0
yaktor,github.com/SciSpike/yaktor,4.7,0,-1,0,0,10,10,10,0,-1,10,10,0,7,-1,0,0
yaml,github.com/stoplightio/yaml,6.3,0,-1,10,0,10,-1,6,10,10,10,-1,0,10,10,0,0
zipfs,github.com/bazil/zipfs,4.8,0,-1,0,0,10,-1,10,-1,10,10,0,10,10,0,0,0
zlib,github.com/anuraghkp1/zlib,5.3,2,0,-1,0,10,-1,0,10,10,10,0,-1,10,10,0,0
JSONStream,github.com/dominictarr/JSONStream,4.9,0,-1,1,0,10,-1,0,10,0,-1,10,10,10,10,0,0
accepts,github.com/idiocc/accepts,4.8,0,-1,0,0,10,-1,0,10,10,10,10,10,0,-1,0,0
addressparser,github.com/shibing624/addressparser,5.2,4,-1,0,0,10,-1,0,0,-1,10,10,10,10,10,0,0
