name, starcount, description, official
fsharp, 79, DEPRECATED; use https://hub.docker.com/_/mic…, [OK]
bde2020/hive-metastore-postgresql, 9, Postgresql configured to be a metastore for …, 
stevejmason/s3urlsigner, 2, , 
unleashorg/unleash-proxy, 2, The Unleash Proxy, 
mace/ddclient, 7, ddclient with gmail-relay, 
kindest/kindnetd, 2, sigs.k8s.io/kind networking daemon / CNI ima…, 
fike/debian, 2, Debian Images with language locale installed., 
pointslope/datomic-pro-starter, 17, A base image for Datomic Pro Starter Edition, 
enmotech/opengauss, 12, openGauss latest images created by Enmotech, 
geekduck/minidlna, 22, MiniDLNA docker image, 
cibsoftware/libreoffice-online, 6, LibreOffice Online powered by CIB, 
ventz/bind, 52, Super SMALL (5MB) - Secure ISC BIND (Authori…, 
r3inbowari/bilicoin, 2, bilibili automatic coin tool, 
yaktor/yaktor, 2, yaktor application engine, 
lalamove/nginx-php7-nodejs, 2, PHP7 image with nodejs, 
akeneo/fpm, 9, An image with PHP FPM preconfigured, based o…, 
aluracursos/barbearia, 2, , 
ibmcom/aspera-cli, 3, A collection of Aspera tools for performing …, 
edmachine/siege, 2, siege with siege-parser, outputs json parsed…, 
hectormolinero/qemu-user-static, 3, A Docker image with the QEMU user mode emula…, 
kaiwinter/docker-java8-maven, 8, Oracle JDK8 Update 101 and Maven 3.3.9, 
owncloudci/php, 2, Docker image for PHP, 
rcshubhadeep/packt-data-wrangling-base, 3, The base image for all data exercises and ac…, 
nouchka/sqlite3, 36, Sqlite3 command line in a docker container, 
timbru31/java-node, 21, OpenJDK JRE or JDK (8 or 11) with Node.js 12…, 
lupino/ardb-server, 3, Ardb server, 
wallarm/sysbindings, 5, Little toolkit for control the sysctl/sysfs …, 
nvidia/k8s-device-plugin, 27, Images for github.com/NVIDIA/k8s-device-plug…, 
anbraten/opnv-live, 2, , 
lyft/metadataproxy, 3,  A proxy for AWS's metadata service that giv…, 
odivlad/webvirtmgr, 5, Docker image of webvirtmgr (https://github.c…, 
edyan/xhgui, 9, Docker containers that runs xhgui (web inter…, 
e1ite/docker-homeseer, 3, , 
hairyhenderson/gomplate, 10, A commandline Golang template processor, 
0redd/php-ci, 2, , 
jakejarvis/cloudflare-argo, 4, An intermediary between Cloudflare's Argo tu…, 
kusumoto/docker-ionic-android-sdk, 6, Docker image include android sdk for buildin…, 
zondax/qrl-build-images, 2, qrl-build-images, 
zopnow/lamp-stack, 4, Latest Ubuntu LTS with PHP, MySQL, Apache an…, 
erpya/adempiere-vue, 2, , 
xueshanf/s3fs, 17, s3fs docker container, 
google/apigee-runtime, 2, Apigee Runtime Container Images, 
aerogearcatalog/keycloak-apb, 2, APB for Keycloak, 
erudikaltd/scoold, 5, Stack Overflow in a JAR, 
ethnchao/nagios, 5, Nagios on Docker!, 
tklx/base, 11, A super slim container image based on Debian…, 
glenux/debian-repository, 2, , 
elyra/nb2kg, 2, A docker image consisting of Jupyter Noteboo…, 
abh1nav/opscenter, 6, See https://registry.hub.docker.com/u/abh1na…, 
oxcom/php-security-checker, 2, The Local PHP Security Checker CLI tool , 
jklewa/tableau-sdk-python, 3, The Tableau SDK for Python2.7 running in a p…, 
stedolan/jq, 20, jq is a lightweight and flexible command-lin…, 
zefhemel/clojure-repl, 2, Clojure 1.5.1 REPL with rlwrap, 
mludocker/isam-ansible, 2, ISAM Ansible build image, 
anapsix/nodejs, 10, 27MB NodeJS over AlpineLinux, 
exoplatform/exo-community, 19, eXo Platform Community edition inside a Dock…, 
26051992/sitecore, 3, , 
sjeandeaux/docker-swagger-ui, 2, , 
979238315/rabbitmq-with-delayed, 2, rabbitmq with rabbitmq_delayed_message_excha…, 
eudatb2share/b2share, 2, B2SHARE images, 
mihaibob/keycloak, 3, Keycloak for ARM processors , 
dbarton/jdownloader, 4, Headless JDownloader., 
bohan/onemirror, 5, https://github.com/brentybh/onemirror, 
diyan/goaccess, 5, GoAccess in a tiny Docker image powered by A…, 
maryville/rabbitmq, 2, 35MB RabbitMQ image running on Alpine Linux, 
hkjn/tor-browser, 5, This repo defines the hkjn/tor-browser Docke…, 
bibbox/seeddms, 9, Easy to use but powerful Open Source Documen…, 
zabbix/zabbix-web-service, 2, Zabbix web servce for performing various tas…, 
kamailio/kamailio, 24, official kamailio docker images, 
hayeah/qtumportal, 2, , 
zocker160/blender, 2, Blender 3D Command Line Render with CUDA sup…, 
nessusio/cardano-node, 12, Nessus Cardano is a container first approach…, 
fbarresi/softplc, 2, Software PLC controlled over Web API, 
bcgovimages/von-image, 8, Standard docker images for building VON comp…, 
jonnyan404/mrdoc-nginx, 13, mrdoc的nginx版本,支持amd64/arm64, 
tiagopeixoto/graph-tool, 13, Arch GNU/Linux container with graph-tool ins…, 
moerats/ccaa, 4, Aria2+AriaNg+Filebrowser镜像, 
goharbor/harbor-jobservice, 2, , 
swift, 597, Swift is a high-performance system programmi…, [OK]
xrpllabsofficial/xrpld, 2, XRP Ledger Node (rippled), 
dhlabs/api-client-generator, 2, Console application capable of generating an…, 
turbonomic/topology-processor, 2, , 
titpetric/netdata, 207, Netdata is a daemon that collects data in re…, 
jrohy/trojan, 11, , 
maprtech/csi-kdfplugin, 2, MapR Container Storage Interface Storage Plu…, 
rstudio/r-session-complete, 11, Images for sessions and jobs in RStudio Serv…, 
dewgew/domoticz-google-assistant, 3, Google Assistent for Domoticz, 
vayan/docker-godot, 2, Official Linux server builds of Godot Engine…, 
nwtgck/piping-server, 3, Streaming Data Transfer Server over HTTP/HTT…, 
c2labs/atlasity, 9, RegScale (formerly Atlasity) is a next-gener…, 
linuxserver/duckdns, 293, A DuckDNS container, brought to you by Linux…, 
xps2/subversion-edge, 2, forked from mamohr/subversion-edge, 
midonet/agent, 3, MidoNet host agent, 
otherguy/dropbox, 13, , 
laravelsail/php80-composer, 61, , 
neffets/xmr-stak-cpu, 5, Docker image for xmr-stak-cpu original from …, 
mprahl/s2i-angular-httpd24, 3, An S2I image for building and running Angula…, 
vasilvasilev97/docker-stats-monitor, 2, Docker stats monitor, 
wodby/wordpress, 2, Vanilla WordPress container image, 
tumblr/collins, 8, , 
gliderlabs/herokuish, 18, A command line tool for emulating Heroku bui…, 
sjsu/cmpe273, 9, CMPE-273 Section 1 Class Docker Repo, 
mautic/mautic, 100, Mautic is an open source marketing automatio…, 
yantis/ssh-hpn-x, 2, High Performance SSH/SCP - HPN-SSH Server an…, 
gladysassistant/gladys, 13, A privacy-first, open-source home assistant, 
jobber, 44, DEPRECATED; Jobber is an alternative to cron…, [OK]
d0u9/youtube-dl-webui, 23, Another web front end for youtube-dl., 
chimeradev/xibo-docker, 6, Docker container for the Xibo Digital Signag…, 
bitnami/keycloak, 29, , 
ehiller/jupyterlab-windows2016-python3.7.2, 3, Jupyterlab inside a windows server 2016 cont…, 
cytopia/terraform-docs, 10, Tiny Docker image for terraform-docs in mult…, 
cabelo/opensuse-leap-15.1-ppc64le, 5, openSUSE Leap 15.1 Image, 
kelseyhightower/hello, 9, , 
ccxtrest/ccxt-rest, 4, CCXT - Unified Crypto API - http://ccxt-rest…, 
katalonstudio/katalon-studio, 4, DEPRECATED - Please use the latest Docker im…, 
lihaixin/shadowsocks, 4, shdowsocks in docker, 
arhea/tplink-hs100-hub, 2, 🔌  A home hub for the TPLink HS 100 Smart P…, 
jprjr/ubuntu-base, 4, , 
l3tnun/epgstation, 7, , 
n0trace/spiderkeeper, 5, spiderKeeper, 
rotschopf/rpi-postgres, 5, Run postgres in a linux alpine container on …, 
piratify/invitarr, 2, , 
bitnami/external-dns, 11, , 
yobasystems/alpine-nginx, 13, Nginx running on Alpine Linux [docker] [amd6…, 
wmarinho/pentaho, 9, , 
bitnami/suitecrm, 68, Bitnami Docker Image for SuiteCRM, 
tinymediamanager/tinymediamanager, 21, Official tinyMediaManager docker images, 
tchiotludo/akhq, 9, Kafka GUI for Kafka to manage topics, topics…, 
nokiatesting/sonarqube, 2, sonarqube installed language plugins by defa…, 
owasp/dependency-track, 20, Dependency-Track is an intelligent Component…, 
kikov79/tomcat9, 4, Ubuntu 14.04, Oracle JDK 8 and Tomcat 9 base…, 
richarvey/nginx-php-fpm, 829, Container running Nginx + PHP-FPM capable of…, 
sreeharshav/testcontainer, 2, , 
ibmcom/isam, 4, IBM Security Access Manager deploys a simpli…, 
fehrenbacher/concrete5, 2, Concrete CMS (formerly concrete5) is an open…, 
s390x/busybox, 2, Busybox base image., 
cobeio/entityd, 6, Cobe.io monitoring agent for Docker Swarm an…, 
nasqueron/phabricator, 5, Phabricator on nginx and php-fpm. With a rec…, 
hashicorp/consul-template, 28, Consul Template is a template renderer, noti…, 
zobees/7daystodie, 7, An abstract docker container for 7 Days to D…, 
ljm625/syntaxnet-rest-api, 3, A Rest API for syntaxnet, 
nwtgck/llvm-clang, 2, Available Versions: LLVM & Clang 5.0.0 ~ 3.0, 
bitwarden/attachments, 6, The Bitwarden server for file attachment dow…, 
wangbinxingkong/fast, 37, 中文docker面板，中文面板，docker面板, 
edkchang/k8s, 2, Test image for k8s demo, 
devkitpro/toolchain-base, 3, Base Debian Stretch image with devkitPro Pac…, 
psitrax/icingaweb2, 5, Icingaweb2 Container, 
eostudio/eos, 10, This image contains all the binaries produce…, 
asavartzeth/sftp, 2, A dockerized sftp server, using the openssh …, 
hbrls/cnpmjs, 10, docker image of cnpmjs.org, the "Company NPM…, 
vrnetlab/vr-xcon, 3, vrnetlab xcon - cross-connect multiple vrnet…, 
kuzzleio/kuzzle, 10, Kuzzle Embedded Container, 
lexaguskov/freebsd, 11, FreeBSD operating system, 
jorink/iae_docker, 4, , 
lsioarmhf/duckdns, 11, , 
beginner202010/forwordpanel, 18, 原闲蛋流量转发面板的备份镜像, 
dzzoffice/onlyoffice, 5, onlyoffice document server, 
dastapov/hledger, 6, Docker image for hledger and associated tools, 
vinsdocker/jmmaster, 5, , 
barnybug/elasticsearch, 17, Latest Elasticsearch 1.7.2 and previous rele…, 
pdkillian/rpi-guacamole, 2, Guacamole Container for a Raspberry Pi, 
subfuzion/netcat, 8, Simple Alpine image for running netcat (nc), 
dzikoysk/reposilite, 5, Lightweight repository management software d…, 
zhiyunmetis/metis-svr, 2, , 
noiro/aci-containers-controller, 3, ACI Containers Controller (ACC) container im…, 
onmodulus/build-meteor, 2, The Docker build image for Modulus Meteor ap…, 
wzshiming/nginx, 2, 镜像, 
fbender/php54-apache-mysql, 2, Image for local development on old projects.…, 
jasonrm/dummy-server, 2, Dummy HTTP Server, 
willysunny/nadecker, 2, Building for Latest Nadeko, 
gihyodocker/echo, 3, , 
treehouses/rpi-couchdb, 13, Checkout the Multi Architecture repo at http…, 
sqlsec/ggctf-upload, 6, 国光的文件上传靶场 GGCTF 共13关, 
abcthings/tbgateway, 2, ThingsBoard Gateway docker images, 
continuumio/miniconda3, 341, Powerful and flexible package manager, 
bitnami/cluster-autoscaler, 3, , 
c403/kcptun-socks5-ss-server-docker, 2, forked from https://hub.docker.com/r/cndocke…, 
daggerok/jboss-eap-6.4, 4, Docker hub JBoss EAP 6.4 automation build (i…, 
spmallick/opencv-docker, 26, Docker image with OpenCV 3.4.1, 3.4.3 and 4.…, 
iyuucn/iyuuplus, 56, IYUUAutoReseed项目的升级版，常驻内存运行；集…, 
bazelbuild/buildfarm-worker, 2, Public container release for the https://git…, 
hauptmedia/proftpd, 5, Docker image for proftpd, 
ornliceman/oclimax, 2, , 
portainer/portainer, 2236, This Repo is now deprecated, use portainer/p…, 
ibmcom/zipkin, 4, , 
yappabe/php, 3, Docker images for easy php development, usin…, 
dynatrace/easytravel-loadgen, 6, The UEM Load Generator component of the Dyna…, 
yewton/swagger2html, 4, Generate HTML document from swagger spec usi…, 
bitnami/reportserver, 3, , 
mdhiggins/radarr-sma, 10, radarr with sickbeard_mp4_automator, 
phundament/php, 2, [outdated] Phundament 4 php:cli and php:fpm …, 
nidorpi/rpi-mysql5.7, 2, MySQL for Raspberry Pi, 
goellnerit/confluence-docker, 8, , 
bobrik/collectd-docker, 15, Collect docker container resource usage, 
sonatype/nexus, 449, Sonatype Nexus, 
pklaus/catools, 3, Minimal distribution of EPICS Channel Access…, 
networkboot/dhcpd, 74, Suitable for running a DHCP server for your …, 
elsce/replicator, 3, Automated Cluster and Job Scaling For HashiC…, 
bitnami/tomcat, 45, Bitnami Tomcat Docker Image, 
budgetzero/budgetzero, 5, , 
nuster/nuster, 4, A web caching proxy server based on HAProxy, 
puppet/lumogon, 5, Lumogon is the best way to inspect, analyze …, 
xlxwhy/rocketmq, 4, alibaba's rocketmq, 
gns3/ipterm, 5, ipterm is a debian based networking toolbox. , 
vouu/acu, 4, , 
uber/go-torch, 2, Stochastic flame graph profiler for Go progr…, 
huangyj/hyperkube-amd64, 3, gcr.io/google_containers/hyperkube-amd64, 
barchart/elasticsearch-aws, 3, Elasticsearch AWS node, 
rsalian/centos-sshpass, 2, This docker image has latest centos 7 with s…, 
khoerintus/supervisord, 4, , 
vastai/pytorch, 6, Pytorch 1.0 rc0 with cuda 10.0., 
tlvu/schemaspy, 2, SchemaSpy + MySQL driver, 
d3v0x/blender-render-cluster, 4, Blender Render Cluster, 
jurjean/minecraft-ftb-infinity, 4, Minecraft FTB Infinity with DynMap, 
turnkeylinux/elgg-13.0, 3, TurnKey Elgg - Social Networking Engine, 
caryyu/xxl-job-executor-sample-springboot, 3, caryyu/xxl-job-executor-sample-springboot, 
felddy/weewx, 3, , 
vimagick/kcptun, 2, An extremely simple & fast udp tunnel based …, 
google/dart-runtime-base, 14, Discontinued: please use the "dart" Docker O…, 
gameservers/factorio, 3, Factorio Game Server, 
ibmcom/iib-mq-server, 12, Official IBM image containing IBM Integratio…, 
tobilg/mesos-dns, 4, A Mesos DNS Docker image, 
uhei/ess-system, 4, BrainScaleS Demo based on ubuntu 14.04, 
algolia/documentation-scrapper, 2, , 
jhipster/jhipster-sample-app, 4, This is a sample application created with JH…, 
tagineerdai/cuda90-deep-learning, 2, Refer to https://github.com/TagineerDai/cu90…, 
atsu666/ioncube, 2, Docker Image with Docker PHP + IonCube, 
jmferrer/apache2-reverse-proxy, 2, Dockerized apache2 reverse proxy service., 
linuxserver/wikijs, 48, , 
f1yegor/clickhouse-exporter, 3, ClickHouse exporter for Prometheus, 
hrektts/fusiondirectory, 2, FusionDirectory image served by nginx, 
ajeeth/urbackup_auto, 2, This docker container provides urbackup serv…, 
jpdurot/tuleap, 3, Tuleap container, 
koalaman/shellcheck, 39, ShellCheck -- Shell script analysis tool, 
vixns/drupal-nginx, 4, Drupal 7 on php-fpm and nginx, 
cimg/android, 2, , 
enzobes/warezbot, 3, Public Version of Discord bot for scene rele…, 
jghiloni/spring-boot-rootfs, 2, An image with common spring boot dependencie…, 
circleci/rust, 5, CircleCI images for Rust, 
mquandalle/wekan, 107, An open-source kanban, 
penpotapp/frontend, 4, , 
mamohr/centos-java, 4, Oracle Java 8 Docker image based on Centos 7, 
mycatisblack/consul-agent, 4, Fork of gliderlabs/consul-agent but with nag…, 
ixdotai/smtp, 12, A SMTP docker container for sending emails. …, 
tandrup/snmpsim, 2, SNMP simulator, 
lsucrc/swan, 2, SWAN Ocean Wave Model (Version 41.01) by LSU…, 
x11docker/lxde-wine, 19, Wine with PlayOnLinux on LXDE desktop. Based…, 
idiswy/lnmp, 4, Ubuntu 16.04 + nginx 1.8.x + php7 + MySQL 5.…, 
mlabbe/openspeedtest, 26, -EXPIRED- Dockerfile to setup OpenSpeedTest …, 
maestrooo/eb-docker-php7, 3, , 
apcera/gnatsd, 24, gnatsd is the high performance server for th…, 
bitnami/drupal, 26, Bitnami Docker Image for Drupal, 
google/cloud-sdk, 382, Google Cloud SDKbundle with all components a…, 
raetha/wyzesense2mqtt, 2, Configurable WyzeSense to MQTT Gateway for H…, 
tavianator/textworld-codalab, 4, Image for the TextWorld Codalab competition, 
empireproject/empire, 13, Empire is a PowerShell and Python post-explo…, 
ixsystems/truecommand, 26, Official release images of TrueCommand., 
rancher/harvester, 2, , 
b00stfr3ak/ubuntu-phishingfrenzy, 6, , 
fcarrus/jboss-eap-6.4, 2, Base image for fcarrus/jboss-eap-6.4-{dom,ho…, 
vikunja/frontend, 4, Official docker image for the vikunja web fr…, 
nevinee/qbittorrent, 82, qBittorrent 4.4.3.1：下载完成通知,自动分类,I…, 
wso2/wso2ei-analytics-dashboard, 2, Dashboard profile of WSO2 Enterprise Integra…, 
yetibot/yetibot, 2, Extreme chatops, 
kvaps/linstor-controller, 2, linstor-controller, 
ddragosd/tsung-docker, 13, , 
0xcaff/koel, 15, A minimal image for the koel music streaming…, 
grafana/mimir, 3, Horizontally scalable, highly available, mul…, 
djrobstep/migra, 2, migra in a docker container, 
activeeon/dlm3, 2, https://github.com/ow2-proactive/docker/tree…, 
kdr2/debian, 2, , 
acrisliu/shadowsocks-libev, 39, Build a docker image for shadowsocks-libev w…, 
loicsharma/baget, 29, The official image for the lightweight NuGet…, 
qnib/zkui, 25, Image holding the Zookeeper UI (https://gith…, 
koha/koha-testing, 4, Koha image for running tests, 
nrel/openstudio-server, 3, , 
xyrizcirclesasia/docker-android-sdk, 2, Stripped down docker image for Android buill…, 
shlinkio/shlink-web-client, 6, A ReactJS-based progressive web application …, 
diyhue/core, 22, This image allows you to create your own Phi…, 
trzeci/emscripten-ubuntu, 3, A complete container that allows to compile …, 
ibmcom/ace-designer-flows, 5, IBM App Connect Enterprise (Developer Editio…, 
jonnyan404/mrdoc-alpine, 13, mrdoc的docker版本,支持arm64/amd64/armv7, 
mrapplejuice/pushgateway, 2, Prometheus-pushgateway with timeout function…, 
crossplane/oam-kubernetes-runtime, 2, , 
machines/filestash, 39, Official docker image for filestash: https:/…, 
croc/unimus, 2, my Unimus container for network device backu…, 
rotheross/otobo, 11, OTOBO Helpdesk System, 
ivories/php, 2, php, 
vertica/verticadb-operator, 2, A Kubernetes operator that automates databas…, 
dawnbreaker/easyredmine, 2, Docker Image for EasyRedmine tests, 
cgwire/cgwire, 4, Official trial image for the CGWire stack in…, 
ipython/scipystack, 26, Deprecated. Scipy IPython image. See https:/…, 
lihaixin/portainer, 15, docker ui, 
svagi/openssl, 4, OpenSSL based on Alpine linux, 
ulsmith/debian-apache-php, 2, Docker image for base debian, apache and php…, 
mrdreambot/arm64-docker-swarm-visualizer, 5, This is the Docker Swarm Visualizer for my O…, 
ekapusta/debian-sshd, 4, Latest Debian-based OpenSSH daemon with conf…, 
ncarlier/webhookd, 7, A very simple webhook server launching shell…, 
tautulli/tautulli, 245, This is the official Tautulli Docker image s…, 
tutum/buildstep, 23, Convert your application into a self-suffici…, 
